HadCOPD,AlcoholDrinkers,SmokerStatus,GeneralHealth,DifficultyWalking,HadDiabetes,HighBloodPressure,HadStroke,BlindOrVisionDifficulty,AgeCategory,HighCholesterol,HadKidneyDisease,Sex,HadAngina
-0.04273706,0.17086753,-0.20947534,0.05026622,-0.10699316,0.25350142,0.37014887,-0.08608784,-0.017468099,-0.7033589,0.12751274,-0.022660036,0.3430772,-0.6024071
-0.020695206,0.065864004,-0.22351131,0.43458647,-0.07420234,0.27704105,0.24335,-0.08978204,-0.012638711,0.09098469,-0.13297789,-0.024727497,-0.42297435,-0.52814025
-0.020818839,0.08969852,-0.27993426,-0.02001237,-0.026031312,-0.078658186,0.10986327,-0.091648236,-0.0015877704,0.053753946,-0.14752156,-0.023998186,0.29433367,2.1353478
-0.0152186,-0.10745943,-0.23700376,-0.34393707,-0.06584543,-0.097462386,0.24208456,-0.11801178,-0.006710466,0.18218444,-0.1950761,-0.026638662,0.32694128,-0.56414425
-0.036121927,0.20047006,-0.17662707,-0.37449795,-0.11644018,-0.07983692,-0.3282572,-0.09914574,-0.019418951,-1.0161498,-0.13731724,-0.029280515,0.3040425,-0.71474874
-0.035077844,-0.14977,0.11894314,0.044604816,-0.065708116,-0.07145108,0.3346529,-0.09767696,-0.017564777,-0.6495459,0.1562707,-0.029155355,0.25682715,-0.6519859
-0.047787823,-0.101147056,0.122816294,0.08117142,-0.078379765,-0.07112756,-0.3127749,-0.08980767,-0.026909549,-0.7171762,-0.14231803,-0.030604733,-0.3309005,-0.7260768
-0.029118182,-0.06611356,-0.25407118,0.07933728,-0.025785444,-0.07010965,0.21331346,-0.117974654,-0.010011437,0.40380326,0.097556,-0.006614459,-0.3678344,-0.5467319
-0.016434858,-0.107605815,-0.27596897,-0.2767006,-0.042288937,0.18154679,0.089809865,-0.08261209,-0.005292185,0.3110607,0.08270047,-0.0029694517,0.33674306,1.9406238
-0.03332362,0.17710601,0.06447988,-0.6992663,-0.09829856,-0.09343864,-0.3348955,-0.09556001,-0.017876185,-0.39166787,-0.1408174,-0.029348232,0.33188567,-0.74550384
-0.048177365,-0.095837966,-0.24896015,0.078030944,0.48891282,-0.08550255,-0.3533044,-0.10969136,0.40621415,-0.4876817,0.06738479,-0.045326333,-0.32105455,-0.6286809
-0.0081039285,0.017844563,0.07955797,0.010197074,-0.026935536,0.1314749,0.18185604,1.0640912,-0.0021979637,0.24605674,-0.11204509,-0.00950727,0.3413966,-0.47503763
-0.026892973,0.01698966,-0.16660567,0.43432328,-0.13622516,-0.12278617,-0.39992815,-0.12047778,-0.04397112,-1.688818,-0.121042915,-0.041385584,-0.37900272,-0.65261513
